"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"EICU","aki1_7d","OR",118,1815,485,442,1.03466587680649,0.609078435012209,1.75762827098989,0.89968976109122,"G1_ge90",FALSE
"EICU","aki1_7d","OR",120,1815,485,442,1.09246789411924,0.605645885946116,1.97060052313724,0.768873682068464,"G1_ge90",FALSE
"EICU","aki1_7d","RD",30,1815,485,442,0.13873047326115,0.0542811791967588,0.223179767325542,0.0012827004229351,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",32,1815,485,442,0.136552397775418,0.0597382709839103,0.213366524566927,0.000493444378129286,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",34,1815,485,442,0.134109833366609,0.0639875910190435,0.204232075714174,0.000177874627141144,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",36,1815,485,442,0.131386249477029,0.0669329420299504,0.195839556924107,6.45838269670615e-05,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",38,1815,485,442,0.128365115548986,0.0685025660420262,0.188227665055946,2.63530307371395e-05,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",40,1815,485,442,0.125029901024788,0.0686684819351988,0.181391320114378,1.37393984770082e-05,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",42,1815,485,442,0.121364075346743,0.0674639277227594,0.175264222970727,1.01841108050074e-05,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",44,1815,485,442,0.117351107957159,0.0649902504927084,0.169711965421609,1.1192566082393e-05,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",46,1815,485,442,0.112974468298342,0.0614075148258783,0.164541421770805,1.75460089619359e-05,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",48,1815,485,442,0.1082176258126,0.0569114043341689,0.159523847291032,3.56303055906341e-05,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",50,1815,485,442,0.103064049942242,0.0517058796060824,0.154422220278402,8.37981063909128e-05,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",52,1815,485,442,0.0974972101295746,0.045980868402987,0.149013551856162,0.000207753955315311,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",54,1815,485,442,0.0915005758169055,0.0398988960542166,0.143102255579595,0.000509920760368388,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",56,1815,485,442,0.0850576164465425,0.0335894632290644,0.136525769664021,0.00119887651172465,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",58,1815,485,442,0.0781518014607931,0.0271477970937405,0.129155805827846,0.00267117128535679,"G3plus_lt60",FALSE
"EICU","aki1_7d","RD",60,1815,485,442,0.0707666003019651,0.020634617773054,0.120898582830876,0.00566185917118045,"G2_60_89",FALSE
"EICU","aki1_7d","RD",62,1815,485,442,0.0629057229559063,0.0140783440933617,0.111733101818451,0.0115657264577275,"G2_60_89",FALSE
"EICU","aki1_7d","RD",64,1815,485,442,0.0546538415826259,0.00748781093739044,0.101819872227861,0.0231373871186827,"G2_60_89",FALSE
"EICU","aki1_7d","RD",66,1815,485,442,0.0461158688856733,0.000848923958760149,0.0913828138125865,0.0458515535108524,"G2_60_89",FALSE
"EICU","aki1_7d","RD",68,1815,485,442,0.037396717568598,-0.0058722846319535,0.0806657197691495,0.0902658245100137,"G2_60_89",FALSE
"EICU","aki1_7d","RD",70,1815,485,442,0.0286013003349494,-0.0127225778069704,0.0699251784768692,0.174919300514349,"G2_60_89",FALSE
"EICU","aki1_7d","RD",72,1815,485,442,0.0198345298882772,-0.0197512974640653,0.0594203572406198,0.326070029019038,"G2_60_89",FALSE
"EICU","aki1_7d","RD",74,1815,485,442,0.0112013189321306,-0.0269948897254012,0.0493975275896625,0.565437114350506,"G2_60_89",FALSE
